property_id,date_obtained,price,property_type,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_rooms,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_dining_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,floor_number,total_floors,property_size,flood_zone_type,cadastral_income
11379380,18052024,259000,APARTMENT,58.0,GAS,,True,,1.0,1,1.0,True,,,,True,6.0,,,B,175.0,9000,51.0335249,3.7131352,2008.0,,,4.0,,NON_FLOOD_ZONE,854
11379380,16052024,259000,APARTMENT,58.0,GAS,,True,,1.0,1,1.0,True,,,,True,6.0,,,B,175.0,9000,51.0335249,3.7131352,2008.0,,,4.0,,NON_FLOOD_ZONE,854
11337350,16052024,285000,HOUSE,93.0,GAS,,True,,1.0,2,1.0,False,,,True,True,,,,D,318.0,9000,51.0565943,3.7436708,,,,,63.0,,0
11365383,18052024,295000,HOUSE,145.0,GAS,False,True,,1.0,4,,False,,,,,,,,B,196.0,9040,51.0599385,3.7437062,1899.0,,,,70.0,NON_FLOOD_ZONE,482
11365383,16052024,295000,HOUSE,145.0,GAS,False,True,,1.0,4,,False,,,,,,,,B,196.0,9040,51.0599385,3.7437062,1899.0,,,,70.0,NON_FLOOD_ZONE,482
11336878,16052024,545000,HOUSE,198.0,GAS,True,True,,1.0,4,3.0,False,,,,,,,,B,129.0,9032,51.0784414,3.7122684,2002.0,GOOD,,,247.0,NON_FLOOD_ZONE,1044
11395196,18052024,849000,HOUSE,285.0,,,False,1.0,,5,,True,,,,,,,,E,460.0,9040,51.0501872,3.7504293,1910.0,GOOD,,,467.0,NON_FLOOD_ZONE,1036
11278578,18052024,325000,HOUSE,144.0,GAS,,,,,1,,False,,,,True,30.0,,,E,479.0,9031,51.0626278,3.6386242,1971.0,TO_BE_DONE_UP,,,794.0,,860
11278578,16052024,325000,HOUSE,144.0,GAS,,,,,1,,False,,,,True,30.0,,,E,479.0,9031,51.0626278,3.6386242,1971.0,TO_BE_DONE_UP,,,794.0,,860
11376903,18052024,237500,APARTMENT,96.0,,False,True,8.0,1.0,2,,False,,,,,,,,B,173.0,9030,51.0716178,3.6805776,1967.0,,,2.0,,NON_FLOOD_ZONE,0
11376903,16052024,237500,APARTMENT,96.0,,False,True,8.0,1.0,2,,False,,,,,,,,B,173.0,9030,51.0716178,3.6805776,1967.0,,,2.0,,NON_FLOOD_ZONE,0
